age,weight,height,activity_level,dietary_restrictions,sleep_issues,label
22,53,162,very active,vegan,late_night,vegan_energy
46,86,178,sedentary,low_sodium,none,low_sodium_control
31,67,171,moderately active,none,fatigue,balanced
57,89,173,lightly active,diabetic,insomnia,balanced_diabetes
25,59,166,extra active,vegetarian,stress,vegetarian_active
42,81,176,lightly active,gluten_free,insomnia,gentle_recovery
35,74,175,extra active,none,fatigue,endurance_recovery
49,91,179,sedentary,low_carb,late_night,weight_management
20,52,161,very active,vegan,none,vegan_energy
38,76,174,moderately active,vegetarian,insomnia,vegetarian_sleep_support
53,84,173,sedentary,low_sodium,stress,low_sodium_control
26,61,168,very active,none,none,balanced
44,83,177,lightly active,none,insomnia,sleep_support
32,70,173,extra active,high_protein,stress,endurance_recovery
59,90,172,sedentary,diabetic,sleep apnea,balanced_diabetes
21,55,163,very active,vegetarian,late_night,vegetarian_active
37,77,176,moderately active,low_carb,fatigue,weight_management
47,88,179,lightly active,low_sodium,insomnia,low_sodium_sleep_support
24,56,165,extra active,vegan,stress,vegan_energy
43,82,176,sedentary,gluten_free,stress,gentle_recovery
29,64,170,moderately active,none,late_night,balanced
50,93,178,sedentary,diabetic,insomnia,balanced_diabetes
33,71,174,extra active,none,none,endurance_recovery
40,79,175,lightly active,gluten_free,fatigue,gentle_recovery
19,50,158,very active,vegetarian,stress,vegetarian_active
56,86,174,sedentary,low_sodium,sleep apnea,low_sodium_sleep_support
27,62,169,moderately active,vegetarian,none,vegetarian_balance
